country,country.code,year,sdg382,health.worker,sdi,total.aid.for.health_rmnch,total.aid.for.health.volatility_rmnch,total.health.spending,government.health.spending,prepaid.private.health.spending,out.of.pocket.health.spending,total.aid.for.health,the_total,ghes_total,ppp_total,oop_total,dah_total,ghes_per_the,ppp_per_the,oop_per_the,dah_per_the,total.aid.for.health.volatility,total.aid,total.aid.volatility,gini.index,people.at.poverty,gdp.per.capita,gdp,vae,pve,gee,rqe,rle,cce,institutional.index,income.group_wb,region_un,country.id_gbd
Cambodia,KHM,2014,13.16,57.278,0.435,0.4237515627948569,NA,6.862320727489676,1.4816370930887943,0.02924529357526107,4.3782011942052455,0.9732430727183642,1157983,250019,4935,738800,164230,21.6,0.4,63.8,14.2,NA,5.263382450808436,0.4471211739095418,NA,NA,1109.38,16874.510038,-1.10774564743042,0.02317480184137821,-0.6931090950965881,-0.4398808181285858,-0.954109787940979,-1.1467499732971191,-0.7760066892067038,Lower middle income,Eastern and South-eastern Asia,10
Cambodia,KHM,2019,17.86,64.234,0.469,0.22494470042073025,NA,7.278596365799961,1.8181518310392153,0.2718174739830569,4.652294282348311,0.5363285696861283,1729399,431994,64584,1105388,127432,25,3.7,63.9,7.4,NA,4.92986931709578,0.7071209336261975,NA,NA,1465.97,23760.061873,-1.2202417850494385,-0.08949386328458786,-0.5715610980987549,-0.5716304779052734,-0.9383871555328368,-1.3040180206298828,-0.8415103063202845,Lower middle income,Eastern and South-eastern Asia,10
Cameroon,CMR,1996,23.82,45.599,0.342,0.00826822826554095,NA,4.910926286602123,0.70996750674094,0.2069893864367559,3.5537260226463183,0.4402433707781089,709772,102611,29916,513617,63628,14.499999999999998,4.2,72.3,9,NA,5.06818176109519,NA,44.4,53.3,1064.65,14452.914961,-0.938624918460846,-0.9563919305801392,-1.0802026987075806,-1.1223492622375488,-1.4418948888778689,-1.3349847793579102,-1.233461376314953,Lower middle income,Sub-Saharan Africa,202
Cameroon,CMR,2001,20.58,47.75,0.36,0.05580933802698092,NA,4.760219409811923,0.8900014962189849,0.2160406497553048,3.501187319798485,0.15298436087207926,852602,159408,38695,627097,27401,18.7,4.5,73.6,3.2,NA,5.623310040755794,NA,42.1,40.2,1156.05,17910.981125,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,202
Cameroon,CMR,2007,8.01,52.338,0.39,0.04227844592154595,NA,4.412782862931762,0.6984794343950065,0.20625279878271985,3.163905448187147,0.34414518156688817,1032053,163359,48238,739968,80488,15.8,4.7,71.7,7.8,NA,9.633097725310009,NA,42.8,39.9,1281.39,23387.803843,-1.0495661497116089,-0.3261089622974396,-0.8494855761528015,-0.8366382718086243,-1.185816526412964,-1.0330448150634766,-0.9483930093414136,Lower middle income,Sub-Saharan Africa,202
Cameroon,CMR,2014,10.71,57.681,0.445,0.1669663567551858,NA,4.374731125968847,0.5803471846143684,0.4424857775041844,2.9382745760414126,0.4136268683487425,1333540,176906,134882,895668,126085,13.3,10.1,67.2,9.5,NA,3.1147085708348623,NA,46.6,37.5,1366.97,30482.787664,-0.9444732666015624,-1.059252381324768,-0.8102801442146301,-0.8984717130661011,-0.8975917100906372,-1.1784545183181765,-1.025963572281279,Lower middle income,Sub-Saharan Africa,202
Central African Republic,CAF,2008,6.75,26.603,0.244,1.0117037282359362,0.31976364578192457,6.9058886747413615,1.3109770891546455,0.06950896582535777,3.25547457741553,2.269928042345829,141776,26914,1427,66834,46601,19,1,47.099999999999994,32.9,0.6622959986002462,14.141932759688942,NA,56.2,62,459.56,2052.972567,-0.988077700138092,-1.8438141345977783,-1.3800679445266724,-1.1940542459487915,-1.431870460510254,-1.1372767686843872,-1.4170791315378568,Low income,Sub-Saharan Africa,169
Chad,TCD,2003,6.28,13.613,0.144,0.32260915299486614,0.08631725187999312,7.688970139492931,2.272709942483517,0.3057518084872679,4.15910191226634,0.9514064762558072,334792,98958,13313,181095,41426,29.6,4,54,12.4,NA,9.18794174892334,2.086168782334838,39.8,NA,473.47,4354.185202,-1.1034162044525146,-1.3724302053451538,-1.1725608110427856,-1.049728274345398,-1.5183055400848389,-1.465013861656189,-1.372364234318685,Low income,Sub-Saharan Africa,204
Chad,TCD,2011,8.69,13.804,0.191,0.3544904593596195,0.0920937324290794,5.1172387012984375,1.1087554501786705,0.2611281424297165,3.020939475827335,0.7264156328627158,443198,96028,22616,261640,62914,21.7,5.1,59,14.2,NA,6.141753307509686,2.272046852682894,43.3,NA,703.12,8660.8818910000009,-1.3500316143035889,-1.3180851936340332,-1.3716837167739868,-1.0372016429901123,-1.4845941066741943,-1.3551608324050903,-1.4138433945124889,Low income,Sub-Saharan Africa,204
Chad,TCD,2018,9.3,16.123,0.234,0.35642938298460175,0.0949755693615776,5.257053850412191,0.8253844383121874,0.26439413336864825,3.0438920214292624,1.1233930660252749,535957,84148,26955,310325,114530,15.7,5,57.9,21.4,NA,9.429517943706784,3.3905711400808363,37.5,42.3,653.35,10195.006847,-1.4681298732757568,-1.4832724332809448,-1.5330631732940674,-1.1113399267196655,-1.3206052780151367,-1.3859620094299316,-1.479367262901821,Low income,Sub-Saharan Africa,204
Comoros,COM,2014,8.81,39.579,0.426,0.9317626793185118,0.2686881414603652,6.350100345579176,0.6556577028758872,0.17632187346582465,3.889551636287681,1.6285691329497844,60648,6262,1684,37148,15554,10.3,2.8000000000000003,61.3,25.7,NA,8.12085778266589,5.60659797899145,45.3,NA,1336.49,955.0715217,-0.2921289801597595,-0.18691016733646393,-1.738213300704956,-1.1232727766036987,-0.8983105421066284,-0.58658766746521,-0.8771283547710745,Lower middle income,Sub-Saharan Africa,176
"Congo, Dem. Rep.",COD,2004,5.81,34.871,0.239,0.13362879340528497,0.11876300358003644,4.293700620312051,0.22900411400039047,0.3536302101421741,3.1637768811058153,0.5472840880238693,806020,42989,66384,593909,102737,5.4,8.3,73.5,12.8,NA,13.085180755708189,30.714288409813797,42.2,69.3,342.46,18772.15184,NA,NA,NA,NA,NA,NA,NA,Low income,Sub-Saharan Africa,171
"Congo, Dem. Rep.",COD,2012,4.82,49.781,0.289,0.4053102740920317,0.2095047854624816,4.306878318969183,0.5401759526582255,0.2810393667787785,1.757198398015376,1.7284646015168037,1286197,161317,83929,524766,516185,12.5,6.5,40.8,40.2,NA,10.044774041089978,10.825911853794386,42.1,63.9,420.63,29863.787754,NA,NA,NA,NA,NA,NA,NA,Low income,Sub-Saharan Africa,171
"Congo, Rep.",COG,2011,4.58,55.912,0.5,0.19738598146291095,0.0539515197521191,2.610450394255233,1.1105985371213871,0.03547429023419034,1.081361069357779,0.38301649754187606,276246,117527,3754,114433,40532,42.6,1.4,41.3,14.7,0.13106668040904315,3.320918970964707,6.517808045381604,48.9,40.9,2308.42,10582.311796,-1.1079977750778198,-0.3543003797531128,-1.2051225900650024,-1.2567180395126345,-1.2075212001800537,-1.1449939012527466,-1.1322668892053611,Lower middle income,Sub-Saharan Africa,170
Côte d’Ivoire,CIV,1985,17.77,NA,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8563241330734523,0.7462908050107899,45.5,NA,2154.46,21467.156134,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,205
Côte d’Ivoire,CIV,1986,16.77,NA,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.205230317095046,0.7493400330509535,38,NA,2150.15,22166.845622,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,205
Côte d’Ivoire,CIV,1987,11.29,NA,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2435557132357764,0.7212705314905351,40.5,NA,2071.5,22089.489335,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,205
Côte d’Ivoire,CIV,1988,12.31,NA,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.886433713189806,0.703147152126346,36.9,NA,2023.01,22340.53284,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,205
Côte d’Ivoire,CIV,1992,13.24,24.499,0.265,0.08306777836501611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.065341587133747,1.5777196059508134,39.4,NA,1768.2,22700.73953,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,205
